"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Jahmyr Gibbs","RB","DET","8","1","330.5","2.0","9.8","1.03","1","Perhaps our small brains cannot comprehend this man’s greatness in fantasy football. Gibbs is a superstar, totaling the most TDs (49) in NFL history by any RB through their first three years in the NFL. After Dan Campbell took over as play-caller (Week 10), Gibbs had the seventh most receptions of any player in the NFL as David Montgomery was phased out of the offense. Gibbs should see the biggest workload of his career and is a worthy selection at 1.01 this year. Consider your opponent’s pants pee-stained every time he touches the ball.","Expect a huge bag of money thrown his way over the summer. He is one of the most explosive players in the league and a surefire early first-round pick in startups. If you want to take him ahead of Bijan or one of the elite WRs, we do not blame you.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bijan Robinson","RB","ATL","5","2","324.7","1.3","10.0","1.01","1","It was a video game-like 2025 season for Bijan, totaling 2,298 yards from scrimmage, the most since CMC in 2019. He accounted for 41% of Atlanta’s total team yardage thanks to ranking first among all RBs in forced missed tackles and percentage of the team’s first-read targets. If you are splitting hairs at the top of your drafts, the only knock on Bijan might be the functionality of the Atlanta offense and how the QB position shakes out. He is all that is great in fantasy football and a true building block if you have the pleasure of drafting him.","He is arguably the best offensive player in football, and he enters this offseason likely up for a major contract extension. Bijan should once again be featured in 2026 under new offensive play-callers Kevin Stefanski and Tommy Rees.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian McCaffrey","RB","SF","14","3","307.2","5.6","9.3","1.07","2","This is the stuff fantasy dreams are made of. If you called your shot with CMC in 2025, oh baby, were you living large while the rest of your league mates cowered in fear due to “he’s gonna get injured” fears. The RB1 was a consistency monster as essentially two players in one for fantasy. Using only his receiving stats, he would have been the WR11 in half-point leagues or the WR8 in full PPR. He tied Amon-Ra St. Brown for the league lead in red zone receptions while totaling a whopping 413 touches, the most by a fantasy RB since DeMarco Murray in 2014. Whew! That type of workload suggests some regression is coming for the 30-year-old, but we still have him ranked as a top-5 RB. He is him, and his skill set for fantasy is like none other since the LaDanian Tomlinson days.","CMC is an all-timer for fantasy football. If you have ever had the opportunity to experience and inhabit a CMC #1 overall season, you likely won your league. However, we are not here to pat your back, but instead offer a word of caution. Since 2020, 11 RBs saw 330+ touches in a regular season; ALL of them saw a decrease of 45+ touches the following year, and only two played a full season. He can still be awesome for 2026, but we would advise shopping him in your league to get an absolute haul. This is “get paid” advice. 30-year-old RBs coming off this big of a workload have a tough time repeating.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jonathan Taylor","RB","IND","11","4","293.3","3.9","9.0","1.06","2","Oh man, those first 10 weeks of JTT were legendary! His five 30+ fantasy point games were tied with 2000 Marshall Faulk and 2006 LaDanian Tomlinson for the most ever through the first ten weeks of a season. As a receiver, he was more involved than ever, setting career highs in targets, receptions, and receiving yards. Unfortunately, the Colts’ offense tanked down the stretch with Philip Rivers & Riley Leonard under center. Taylor’s production essentially was cut in half, nosediving from 23.3 fantasy points per game with Daniel Jones to 11.8 over those final five games. JTT is still a locked-in RB1 for us, although the first month of the season is a brutal stretch for the Colts.","In dynasty, this is the time if you aren’t a contender to trade the 27-year-old back for a haul. Taylor is in his final year under contract, but the Indianapolis front office could clean house this offseason if Shane Steichen fails to make the playoffs.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"James Cook III","RB","BUF","7","5","266.3","2.5","8.4","1.09","3","After agreeing to a four-year contract extension in mid-August, James Cook punched every ""TD-regression"" metric in the face in 2025, leading the league in rushing yards and finishing as a top-6 fantasy back. He paced the league with 11 games of 80+ yards rushing and ranked 3rd in yards after contact. The only stain on Cook’s resume is his declining involvement in the passing game, as he averaged just 1.9 receptions per game last year. Fantasy managers can have confidence in the continuity of this Buffalo offense, the play-calling, and an offensive line that continues to maul opposing fronts. Cook remains a strong RB1 for us in 2026.","Over the last two seasons, his 28 total rushing TDs rank fourth among all RBs. He is tailor-made for Joe Brady's zone scheme and is under contract until 2030. At just 26 years old and tied to Josh Allen, he remains a steady dynasty asset as a low-end RB1.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"De'Von Achane","RB","MIA","12","6","259.6","3.8","9.1","2.03","3","Coming off one of the most consistent fantasy seasons for an RB of all-time, hopefully, any doubts you had about Achane should be buried deep in the ground. He became one of four RBs ever to score 11+ fantasy points in every single game and ranked #1 in yards per carry (5.7) and explosive rush rate (10%) among all qualifying RBs. When you mix in his receiving work, he is a cheat code at the position. Despite Miami’s low win expectation for 2026, we are still in on his price tag at the 1/2 turn in draft as a locked-in RB1.","Achane signed a four-year, $68M extension, making him one of the highest-paid RBs in the league. While the Dolphins might be going through a rebuild, his dynasty value remains stable as a top-5 RB in startups. The pass-catching cheat code that he is will help him age well in this format.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ashton Jeanty","RB","LV","8","7","245.2","5.6","8.7","2.02","4","Let’s be clear: Jeanty checks nearly every box we want in fantasy. Jeanty was actually Jason’s ‘Bust’ pick last year on the show, relative to ADP. It is not because we all didn’t love the talent and draft capital, but it is hard to be a fantasy difference maker at the RB position when your surroundings are as bad as they were a season ago. The O-line was a disaster, Pete Carroll ran a completely unserious operation, and Geno Smith regressed massively. It led to Las Vegas ranking dead last in TDs per game. Again, it is hard to be a great fantasy RB when that’s the case. Fast forward one year, and suddenly, we are more optimistic about where the Raiders are headed. Sure, Fernando Mendoza is a bit of a question mark, but the team put significant investment in the O-line, and we are big fans of Klint Kubiak’s scheme. Look for Jeanty to make a big-time jump in his efficiency metrics in Year 2, and if the Raiders offense can just be around league average, he could push for a top-8 RB season. Beyond the 29 rushing TDs last year as a Heisman runner-up, he is also one of three first-round RBs to see 20+ of their team’s receiving yardage in a single season (2023), joining some guys named Christian McCaffrey and Jahmyr Gibbs. The Raiders certainly were smitten, taking him higher than any RB in the NFL draft since Saquon Barkley in 2018. If you possess this type of draft capital (sixth overall) and elite college production at this young of an age (21 years old), you crush for fantasy. Expect a mammoth workload on a much-improved Raiders team. We have him as a fringe first-round pick in redraft, but certainly understand if you want to call your shot ahead of other established backs.","The only RBs above Jeanty in our consensus start-up rankings are Jahmyr Gibbs and Bijan Robinson. That tells you all you need to know about Jeanty’s future in dynasty leagues. As a prospect, he was one of those rare talents with top-10 draft capital, so you can feel pretty confident you will get multiple high-end fantasy seasons from Ashton Jeanty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Derrick Henry","RB","BAL","7","8","241.1","4.7","8.6","3.06","5","You can tell your grandkids you lived through the glory years known as ""Derrick Henry SZN"". He is an absolute fantasy legend finishing 2025 with his eighth straight season of double-digit rushing TDs. He saw the most carries inside the 5-yard line of his career and ranked third among all RBs in yards per carry. “Father Time” is usually undefeated when it comes to 30+ year old RBs, but Henry has kicked him outside the wrestling ring the last couple of years. Our projections still have him ranked as a low-end RB1 with a slight deduction in full PPR leagues.","The future Hall of Famer is under contract for two more years as he carries a team-friendly $5.5 million cap hit in 2026 that balloons to $16.2 in 2027.  It is worth noting that since 2010, only one 32+ year old RB has had a double-digit TD season: DeAngelo Williams (PIT) in 2015 had 11 rushing TDs. If you have Henry in dynasty, you could entertain offers or just ride this man into the sunset!","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenneth Walker III","RB","KC","8","9","234.3","5.0","8.2","2.01","5","Ken Bone! Walker was a key piece of the Seattle offense down the stretch and parlayed his Super Bowl MVP award by receiving a big old bag of money from the Chiefs. He signed a three-year deal worth just over $14M per year. He is still only 25 years old and remains one of the best home run hitters in the game, something that was severely lacking in KC's run game over the last two years. For context, over the last two years, Chiefs RBs have run for 10+ yards less than 9% of the time, 31st amongst 32 teams. Enter Walker, who was third in the league last season in rate of 10+ yard runs and #1 in forced missed tackle rate. Expect 18-20 touches per game as the team re-establishes the run game and the red zone approach under OC Eric Bienemy en route to RB1 status for the Bone Zone.","If you have Ken Walker on your dyno squad, you have our permission to join the Hitman in removing your pants at this time. This was an incredible run out for a player who always tantalized with his per-touch ability. Only 25 years old, he is a top-10 dynasty RB in startups for us.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Omarion Hampton","RB","LAC","12","10","233.0","4.7","8.7","2.05","5","It was a frustrating rookie season for Omarion Hampton, who missed Weeks 6-13 with a small fracture in his ankle. However, when he was on the field, you saw flashes of what he can do in fantasy. He only appeared in nine games, but in those contests, Hampton handled a 30% share of the team’s total rush attempts and targets. For context, anything at or above 30% in that metric is elite and quite rare. Now entering Year 2 in the league, there is room for that number to grow, and if it does in this Mike McDaniel scheme with a healthier offensive line, Hampton is a strong candidate to finish inside the top 10 at the position.","We are not ready to put Hampton up there with guys like Bijan and Gibbs, but Hampton is a surefire RB1 in dynasty startups. He is only 23 years old and has that first-round draft capital that suggests he will have multiple seasons as LA’s bell cow. If you have him, ride this thing out for the next two to three years, knowing you have one of dynasty’s most valuable RBs.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
